"","site","species","length","weight","pass","date","notes"
"1",NA,NA,30,1.3,NA,NA,NA
"2",NA,NA,38,1.7,NA,NA,NA
"3",NA,NA,40,1.7,NA,NA,NA
"4",NA,NA,43,7,NA,NA,NA
"5",NA,NA,46,46,NA,NA,NA
"6",NA,NA,48,48,NA,NA,NA
"7",NA,NA,52,3.5,NA,NA,NA
"8",NA,NA,52,52,NA,NA,NA
"9",NA,NA,53,2.4,NA,NA,NA
"10",NA,NA,56,4.7,NA,NA,NA
"11",NA,NA,56,56,NA,NA,NA
"12",NA,NA,59,0.7,NA,NA,NA
"13",NA,NA,59,0.8,NA,NA,NA
"14",NA,NA,62,62,NA,NA,NA
"15",NA,NA,99,1.1,NA,NA,NA
"16",NA,NA,103,1.4,NA,NA,NA
"17",NA,NA,103,5.2,NA,NA,NA
"18",NA,NA,103,6.3,NA,NA,NA
"19",NA,NA,105,1,NA,NA,NA
"20",NA,NA,111,0.5,NA,NA,NA
"21",NA,NA,113,112.9,NA,NA,NA
"22",NA,NA,122,156,NA,NA,NA
"23",NA,NA,130,363,NA,NA,NA
"24",NA,NA,150,1.5,NA,NA,NA
"25",NA,NA,174,90.1,NA,NA,NA
"26",NA,NA,177,22.6,NA,NA,NA
"27",NA,NA,225,158.6,NA,NA,NA
"28",NA,NA,242,189.6,NA,NA,NA
"29",NA,NA,260,44.5,NA,NA,NA
"30",NA,NA,296,76.9,NA,NA,NA
"31","brunnerdaleRun","brookTrout",233,67.7,1,2013-06-14,"diet1"
"32","brunnerdaleRun","brownTrout",89,2.9,1,2013-06-14,NA
"33","brunnerdaleRun","brownTrout",180,35.2,1,2013-06-14,NA
"34","brunnerdaleRun","brownTrout",232,67.3,1,2013-06-14,NA
"35","yellowRun","brookTrout",280,135.3,1,2014-06-04,NA
